OrderDate,InvoiceNo,CustomerID,HospitalName,Region,State,ProductCategory,ProductName,SalesRep,Quantity,UnitPrice,TotalSales
2023-12-16,INV00037,CUST00037,Chavez Inc Hospital,North,Delhi,Medical Devices,Device X,Anita,18,2368,42624
2024-03-02,INV00038,CUST00038,Dickerson Inc Hospital,South,Karnataka,Pharma,Medicine D,Anita,3,13187,39561
2025-08-20,INV00039,CUST00039,Hunt-Fox Hospital,North,Punjab,Pharma,Medicine D,Rahul,43,1111,47773
2023-08-30,INV00040,CUST00040,Davis-Barry Hospital,North,Haryana,Medical Devices,Device Z,Rahul,35,9862,345170
2023-12-19,INV00041,CUST00041,Salas LLC Hospital,East,Bengal,Pharma,Medicine C,Sneha,13,18501,240513
2023-05-19,INV00042,CUST00042,"Brown, Nguyen and Nelson Hospital",South,Tamil Nadu,Medical Devices,Device X,Arjun,7,1256,8792
2025-09-30,INV00043,CUST00043,Davis Ltd Hospital,North,Haryana,Medical Devices,Device W,Anita,2,19096,38192
2025-02-06,INV00044,CUST00044,"Chavez, Woods and Hardy Hospital",North,Delhi,Pharma,Medicine C,Arjun,37,1102,40774
2024-02-23,INV00045,CUST00045,Williams-Franco Hospital,South,Tamil Nadu,Pharma,Medicine A,Anita,47,14162,665614
2023-04-07,INV00046,CUST00046,"Mason, Armstrong and Mcneil Hospital",East,Assam,Pharma,Medicine D,Rahul,16,11665,186640
2025-07-17,INV00047,CUST00047,Diaz Inc Hospital,North,Delhi,Medical Devices,Device X,Arjun,28,1911,53508
2025-02-18,INV00048,CUST00048,"Porter, Le and Hunter Hospital",East,Assam,Pharma,Medicine B,Anita,10,17653,176530
2025-10-13,INV00049,CUST00049,Johnson-Hampton Hospital,West,Maharashtra,Pharma,Medicine C,Anita,37,3422,126614
2023-02-13,INV00050,CUST00050,Stone-Dickerson Hospital,East,Bengal,Medical Devices,Device Z,Rahul,31,7167,222177
2025-04-14,INV00051,CUST00051,Ford-Reed Hospital,South,Karnataka,Medical Devices,Device W,Sneha,25,18362,459050
2024-03-02,INV00052,CUST00052,Gardner and Sons Hospital,East,Bengal,Medical Devices,Device W,Rahul,9,7829,70461
2024-09-16,INV00053,CUST00053,"Thomas, Page and Nguyen Hospital",West,Maharashtra,Medical Devices,Device Z,Anita,23,17394,400062
2025-02-28,INV00054,CUST00054,"Parker, Vargas and Walton Hospital",South,Karnataka,Medical Devices,Device Z,Arjun,44,5042,221848
2024-03-05,INV00055,CUST00055,Wood-Romero Hospital,North,Haryana,Medical Devices,Device Y,Anita,1,814,814
2023-10-04,INV00056,CUST00056,"Coleman, Brown and Pineda Hospital",East,Odisha,Pharma,Medicine D,Rahul,9,5151,46359
2024-12-10,INV00057,CUST00057,Bryant PLC Hospital,East,Assam,Pharma,Medicine D,Sneha,29,2414,70006
2024-10-12,INV00058,CUST00058,"Hooper, Walsh and Kim Hospital",West,Maharashtra,Pharma,Medicine A,Arjun,44,17736,780384
2023-01-24,INV00059,CUST00059,Adams-Dillon Hospital,South,Tamil Nadu,Medical Devices,Device W,Arjun,22,16317,358974
2023-12-19,INV00060,CUST00060,Fry Group Hospital,West,Rajasthan,Medical Devices,Device Z,Arjun,42,5142,215964
2023-01-15,INV00061,CUST00061,"Patel, Holloway and Pearson Hospital",South,Karnataka,Medical Devices,Device Y,Rahul,35,5406,189210
2023-07-07,INV00062,CUST00062,Reed-Berg Hospital,East,Odisha,Pharma,Medicine D,Rahul,5,15034,75170
2023-07-14,INV00063,CUST00063,"Garcia, Vaughn and Anderson Hospital",South,Kerala,Medical Devices,Device W,Rahul,22,14022,308484
2024-05-02,INV00064,CUST00064,"Payne, Graham and Turner Hospital",South,Tamil Nadu,Pharma,Medicine C,Rahul,1,16467,16467
2024-04-15,INV00065,CUST00065,Bender Group Hospital,North,Haryana,Medical Devices,Device Y,Arjun,11,18576,204336
2024-01-31,INV00066,CUST00066,"Jimenez, Houston and Jones Hospital",West,Gujarat,Pharma,Medicine D,Sneha,28,17328,485184
2024-01-02,INV00067,CUST00067,Hughes-Wallace Hospital,North,Delhi,Medical Devices,Device X,Rahul,30,6117,183510
2024-12-15,INV00068,CUST00068,Cole PLC Hospital,South,Tamil Nadu,Pharma,Medicine B,Arjun,1,18221,18221
2023-02-24,INV00069,CUST00069,"Obrien, Martinez and Miranda Hospital",East,Bengal,Medical Devices,Device Z,Arjun,49,7232,354368
2023-07-10,INV00070,CUST00070,Perry-Hunter Hospital,East,Odisha,Medical Devices,Device W,Arjun,2,13037,26074
2023-06-23,INV00071,CUST00071,"Patterson, Gibson and Taylor Hospital",East,Odisha,Medical Devices,Device Y,Sneha,11,19483,214313
2025-01-06,INV00072,CUST00072,"Holmes, White and Cook Hospital",East,Bengal,Pharma,Medicine A,Sneha,7,11468,80276
2024-11-28,INV00073,CUST00073,Weeks PLC Hospital,East,Odisha,Pharma,Medicine C,Sneha,21,4585,96285
2025-04-15,INV00074,CUST00074,"Johnson, Douglas and Joseph Hospital",East,Odisha,Pharma,Medicine B,Sneha,18,16376,294768
2023-03-03,INV00075,CUST00075,Gonzalez LLC Hospital,South,Karnataka,Medical Devices,Device Y,Anita,19,956,18164
2023-03-26,INV00076,CUST00076,Lane PLC Hospital,South,Kerala,Medical Devices,Device Z,Rahul,17,5614,95438
2023-09-12,INV00077,CUST00077,Matthews-Pacheco Hospital,North,Haryana,Medical Devices,Device Z,Sneha,22,3451,75922
2025-05-15,INV00078,CUST00078,Sanford PLC Hospital,South,Karnataka,Pharma,Medicine C,Sneha,35,7202,252070
2023-04-28,INV00079,CUST00079,"Smith, Daniel and Hardy Hospital",South,Tamil Nadu,Pharma,Medicine D,Anita,16,4912,78592
2025-10-08,INV00080,CUST00080,Hughes Inc Hospital,North,Delhi,Medical Devices,Device Y,Rahul,27,887,23949
2023-06-15,INV00081,CUST00081,Ware-Fox Hospital,North,Haryana,Medical Devices,Device W,Sneha,32,8551,273632
2023-03-17,INV00082,CUST00082,Clark-Boyer Hospital,South,Kerala,Medical Devices,Device Z,Anita,31,6908,214148
2025-09-13,INV00083,CUST00083,Franklin Inc Hospital,East,Bengal,Medical Devices,Device X,Anita,39,11767,458913
2023-02-02,INV00084,CUST00084,"Allen, Graham and Perkins Hospital",East,Bengal,Pharma,Medicine C,Arjun,50,6580,329000
2025-04-01,INV00085,CUST00085,Miranda Inc Hospital,North,Delhi,Pharma,Medicine B,Rahul,26,16701,434226
2023-10-24,INV00086,CUST00086,Coffey-Henry Hospital,West,Gujarat,Pharma,Medicine A,Rahul,18,412,7416
2023-09-18,INV00087,CUST00087,Fields-Garcia Hospital,East,Odisha,Medical Devices,Device W,Anita,4,6026,24104
2025-10-03,INV00088,CUST00088,Chambers Ltd Hospital,South,Tamil Nadu,Medical Devices,Device W,Sneha,26,3337,86762
2024-01-10,INV00089,CUST00089,Martin and Sons Hospital,East,Assam,Pharma,Medicine B,Anita,20,3435,68700
2023-06-11,INV00090,CUST00090,"Mitchell, Benitez and Barrera Hospital",South,Karnataka,Pharma,Medicine B,Sneha,39,11194,436566
2025-04-03,INV00091,CUST00091,"Palmer, Owen and Smith Hospital",West,Maharashtra,Pharma,Medicine B,Rahul,25,9934,248350
2023-08-09,INV00092,CUST00092,"Evans, Kennedy and Tyler Hospital",West,Maharashtra,Pharma,Medicine D,Arjun,36,15401,554436
2024-10-22,INV00093,CUST00093,Bartlett-Harris Hospital,West,Maharashtra,Pharma,Medicine D,Arjun,24,18500,444000
2025-08-29,INV00094,CUST00094,Gomez Ltd Hospital,South,Karnataka,Pharma,Medicine C,Arjun,47,6277,295019
2023-08-12,INV00095,CUST00095,Smith-Simpson Hospital,North,Haryana,Pharma,Medicine D,Rahul,26,16243,422318
2024-02-14,INV00096,CUST00096,Dennis-Hull Hospital,North,Haryana,Pharma,Medicine A,Arjun,49,439,21511
2024-08-26,INV00097,CUST00097,Flores Group Hospital,East,Assam,Pharma,Medicine C,Rahul,29,7592,220168
2025-12-11,INV00098,CUST00098,Griffin LLC Hospital,South,Karnataka,Pharma,Medicine B,Rahul,28,2285,63980
2025-01-26,INV00099,CUST00099,Copeland Ltd Hospital,West,Gujarat,Pharma,Medicine A,Arjun,26,2246,58396
2025-07-23,INV00100,CUST00100,Owens LLC Hospital,West,Maharashtra,Pharma,Medicine A,Anita,13,11152,144976
2023-03-14,INV00101,CUST00101,"Boyd, Keller and Nelson Hospital",East,Assam,Pharma,Medicine D,Rahul,1,10157,10157
2025-04-16,INV00102,CUST00102,"Mendoza, Williams and Bailey Hospital",North,Punjab,Medical Devices,Device Y,Arjun,28,15513,434364
2025-12-18,INV00103,CUST00103,Aguirre Ltd Hospital,North,Punjab,Pharma,Medicine C,Sneha,3,17644,52932
2023-11-18,INV00104,CUST00104,Fuentes Group Hospital,South,Kerala,Pharma,Medicine B,Sneha,34,14572,495448
2024-03-12,INV00105,CUST00105,"Barajas, Cummings and Roman Hospital",East,Odisha,Pharma,Medicine C,Rahul,44,12175,535700
2023-07-20,INV00106,CUST00106,Rodriguez PLC Hospital,North,Haryana,Pharma,Medicine C,Rahul,49,14489,709961
2025-10-28,INV00107,CUST00107,Barrett PLC Hospital,South,Karnataka,Medical Devices,Device X,Rahul,4,9752,39008
2023-05-12,INV00108,CUST00108,"Padilla, Buckley and Lopez Hospital",East,Bengal,Medical Devices,Device Z,Rahul,9,6916,62244
2023-01-28,INV00109,CUST00109,Fitzgerald Group Hospital,West,Gujarat,Pharma,Medicine C,Anita,26,9035,234910
2024-09-26,INV00110,CUST00110,"Woods, Garcia and Brown Hospital",East,Bengal,Medical Devices,Device X,Rahul,44,6853,301532
2023-12-18,INV00111,CUST00111,Macdonald and Sons Hospital,South,Kerala,Pharma,Medicine D,Sneha,11,9553,105083
2024-01-29,INV00112,CUST00112,"York, Cole and Cole Hospital",North,Punjab,Medical Devices,Device Y,Anita,5,13562,67810
2025-11-04,INV00113,CUST00113,"Holmes, Farmer and Valentine Hospital",North,Haryana,Pharma,Medicine C,Anita,14,18005,252070
2025-06-26,INV00114,CUST00114,Gray-Williams Hospital,East,Assam,Medical Devices,Device X,Sneha,29,9332,270628
2023-06-13,INV00115,CUST00115,Wang-Washington Hospital,West,Gujarat,Pharma,Medicine D,Rahul,4,14370,57480
2025-05-27,INV00116,CUST00116,White-Gutierrez Hospital,East,Odisha,Medical Devices,Device Z,Arjun,36,1678,60408
2025-08-27,INV00117,CUST00117,Oneal-Gomez Hospital,North,Haryana,Pharma,Medicine C,Anita,30,14189,425670
2025-09-20,INV00118,CUST00118,"Flores, Sanders and Hunter Hospital",South,Kerala,Medical Devices,Device Y,Rahul,27,1919,51813
2025-07-03,INV00119,CUST00119,"Nguyen, Lee and Bishop Hospital",East,Bengal,Medical Devices,Device X,Sneha,36,13953,502308
2024-09-06,INV00120,CUST00120,"Cruz, Carter and Munoz Hospital",North,Punjab,Pharma,Medicine D,Rahul,47,15765,740955
2025-09-06,INV00121,CUST00121,Baxter Group Hospital,South,Kerala,Pharma,Medicine C,Arjun,1,2931,2931
2023-07-30,INV00122,CUST00122,Smith-Rios Hospital,North,Delhi,Pharma,Medicine A,Rahul,19,7846,149074
2025-09-24,INV00123,CUST00123,Barrera and Sons Hospital,West,Maharashtra,Medical Devices,Device Z,Anita,4,739,2956
2025-06-21,INV00124,CUST00124,Mata Group Hospital,West,Gujarat,Pharma,Medicine B,Arjun,38,6957,264366
2024-02-12,INV00125,CUST00125,Perkins PLC Hospital,West,Rajasthan,Pharma,Medicine D,Sneha,35,11191,391685
2024-07-12,INV00126,CUST00126,"Gomez, Weber and Smith Hospital",South,Tamil Nadu,Medical Devices,Device X,Rahul,29,7915,229535
2023-06-26,INV00127,CUST00127,"Levine, Torres and Goodman Hospital",West,Maharashtra,Pharma,Medicine A,Arjun,19,6506,123614
2024-11-23,INV00128,CUST00128,"Hansen, Weber and Leon Hospital",North,Haryana,Medical Devices,Device X,Anita,36,1564,56304
2024-02-02,INV00129,CUST00129,Paul-Schultz Hospital,West,Gujarat,Medical Devices,Device Y,Sneha,2,10992,21984
2023-06-08,INV00130,CUST00130,Stephenson-Gilmore Hospital,North,Punjab,Pharma,Medicine A,Rahul,45,2180,98100
2024-04-06,INV00131,CUST00131,Cherry Group Hospital,South,Tamil Nadu,Pharma,Medicine C,Sneha,10,15964,159640
2025-07-10,INV00132,CUST00132,Cox-Davis Hospital,South,Karnataka,Medical Devices,Device X,Anita,24,5172,124128
2025-06-09,INV00133,CUST00133,Richardson LLC Hospital,North,Punjab,Medical Devices,Device Z,Arjun,45,178,8010
2024-11-12,INV00134,CUST00134,Stevens LLC Hospital,North,Delhi,Medical Devices,Device Z,Sneha,15,9208,138120
2023-02-04,INV00135,CUST00135,"Oconnell, Wilson and Johnson Hospital",North,Punjab,Medical Devices,Device W,Arjun,36,2224,80064
2025-09-22,INV00136,CUST00136,Rivera Inc Hospital,North,Delhi,Pharma,Medicine D,Anita,32,7887,252384
2023-12-17,INV00137,CUST00137,Cordova-Conley Hospital,South,Tamil Nadu,Medical Devices,Device Y,Rahul,28,5356,149968
2025-09-12,INV00138,CUST00138,"Edwards, Bridges and Carlson Hospital",East,Odisha,Pharma,Medicine C,Rahul,48,16083,771984
2025-04-12,INV00139,CUST00139,Velasquez-Shelton Hospital,East,Odisha,Pharma,Medicine D,Arjun,27,4034,108918
2024-05-13,INV00140,CUST00140,Stevens LLC Hospital,East,Odisha,Pharma,Medicine C,Sneha,41,13783,565103
2025-02-10,INV00141,CUST00141,Lewis-Palmer Hospital,North,Delhi,Pharma,Medicine C,Anita,17,4199,71383
2024-12-05,INV00142,CUST00142,Barnett Inc Hospital,North,Haryana,Medical Devices,Device W,Rahul,17,18092,307564
2024-05-23,INV00143,CUST00143,"Zimmerman, Santiago and Bruce Hospital",North,Punjab,Medical Devices,Device Y,Arjun,47,690,32430
2025-12-13,INV00144,CUST00144,"Downs, Phillips and Jones Hospital",East,Assam,Medical Devices,Device W,Arjun,24,4243,101832
2023-02-21,INV00145,CUST00145,"Jackson, Wood and West Hospital",North,Punjab,Pharma,Medicine D,Anita,10,18728,187280
2023-11-04,INV00146,CUST00146,"Haynes, Clark and Murphy Hospital",South,Kerala,Pharma,Medicine B,Arjun,19,10403,197657
2024-06-05,INV00147,CUST00147,Dixon Group Hospital,North,Haryana,Medical Devices,Device Z,Sneha,15,17007,255105
2024-05-19,INV00148,CUST00148,Atkins-Butler Hospital,West,Rajasthan,Medical Devices,Device Z,Anita,39,5866,228774
2023-08-26,INV00149,CUST00149,Alvarado PLC Hospital,South,Kerala,Medical Devices,Device Z,Sneha,27,12822,346194
2023-10-24,INV00150,CUST00150,Molina Group Hospital,West,Rajasthan,Pharma,Medicine A,Anita,48,18766,900768
2023-10-15,INV00151,CUST00151,Stanton LLC Hospital,South,Karnataka,Medical Devices,Device W,Anita,27,4799,129573
2025-01-12,INV00152,CUST00152,Cuevas LLC Hospital,North,Punjab,Pharma,Medicine A,Arjun,33,18023,594759
2024-02-19,INV00153,CUST00153,Garcia-Howard Hospital,West,Gujarat,Pharma,Medicine D,Sneha,50,12109,605450
2025-06-04,INV00154,CUST00154,Morris-Green Hospital,East,Bengal,Medical Devices,Device Z,Arjun,49,18930,927570
2023-10-26,INV00155,CUST00155,"Ayers, Holmes and Farmer Hospital",North,Delhi,Medical Devices,Device W,Sneha,47,5632,264704
2025-10-17,INV00156,CUST00156,Brown-Gutierrez Hospital,East,Odisha,Medical Devices,Device Z,Sneha,22,9340,205480
2023-02-23,INV00157,CUST00157,Bradshaw-Roberts Hospital,South,Karnataka,Medical Devices,Device Z,Anita,28,13429,376012
2024-09-17,INV00158,CUST00158,Parker-Clark Hospital,East,Odisha,Medical Devices,Device X,Sneha,12,4631,55572
2024-02-20,INV00159,CUST00159,"Griffin, Smith and Rivera Hospital",North,Haryana,Pharma,Medicine D,Sneha,33,13537,446721
2025-09-02,INV00160,CUST00160,Griffin Ltd Hospital,South,Karnataka,Medical Devices,Device X,Rahul,4,9363,37452
2023-02-06,INV00161,CUST00161,Jones Group Hospital,East,Assam,Medical Devices,Device X,Arjun,15,1101,16515
2024-05-11,INV00162,CUST00162,Knight LLC Hospital,South,Karnataka,Medical Devices,Device Z,Anita,11,13384,147224
2024-03-27,INV00163,CUST00163,Evans Ltd Hospital,North,Haryana,Medical Devices,Device Z,Anita,36,4372,157392
2025-05-04,INV00164,CUST00164,Smith-Dyer Hospital,East,Bengal,Medical Devices,Device X,Arjun,9,19718,177462
2025-04-26,INV00165,CUST00165,"Owens, Harris and Price Hospital",East,Odisha,Pharma,Medicine C,Anita,5,11274,56370
2023-06-06,INV00166,CUST00166,Levine and Sons Hospital,East,Assam,Pharma,Medicine A,Arjun,33,9922,327426
2023-06-22,INV00167,CUST00167,Little Ltd Hospital,South,Karnataka,Pharma,Medicine D,Anita,12,17605,211260
2023-04-24,INV00168,CUST00168,Gordon and Sons Hospital,South,Karnataka,Medical Devices,Device Y,Rahul,50,3706,185300
2024-07-22,INV00169,CUST00169,Terrell-Wilson Hospital,East,Odisha,Pharma,Medicine A,Rahul,19,18843,358017
2024-05-24,INV00170,CUST00170,"Kelly, Reynolds and Bell Hospital",East,Odisha,Medical Devices,Device Y,Arjun,41,2575,105575
2024-01-25,INV00171,CUST00171,"Murphy, Harris and Singleton Hospital",East,Bengal,Pharma,Medicine B,Anita,35,14917,522095
2025-09-09,INV00172,CUST00172,Robinson PLC Hospital,South,Karnataka,Medical Devices,Device W,Arjun,49,14840,727160
2025-07-27,INV00173,CUST00173,Foster-Jenkins Hospital,West,Maharashtra,Pharma,Medicine A,Rahul,48,1439,69072
2023-02-21,INV00174,CUST00174,Lopez and Sons Hospital,West,Rajasthan,Medical Devices,Device X,Rahul,2,18024,36048
2025-08-10,INV00175,CUST00175,Hill-Johnson Hospital,East,Assam,Medical Devices,Device Y,Arjun,26,7606,197756
2025-06-03,INV00176,CUST00176,"Smith, Grant and Hess Hospital",West,Gujarat,Pharma,Medicine C,Rahul,19,15665,297635
2024-03-09,INV00177,CUST00177,Carter Inc Hospital,South,Kerala,Pharma,Medicine C,Arjun,45,10815,486675
2024-12-08,INV00178,CUST00178,Velasquez and Sons Hospital,South,Tamil Nadu,Pharma,Medicine A,Rahul,27,12985,350595
2024-09-06,INV00179,CUST00179,"Rogers, Shelton and Middleton Hospital",West,Maharashtra,Pharma,Medicine D,Anita,15,12659,189885
2024-10-21,INV00180,CUST00180,Allen-Bell Hospital,East,Assam,Pharma,Medicine B,Rahul,14,2437,34118
2023-01-10,INV00181,CUST00181,Martin-Torres Hospital,East,Odisha,Pharma,Medicine C,Arjun,39,1462,57018
2025-02-11,INV00182,CUST00182,"Lopez, Taylor and Miller Hospital",South,Kerala,Pharma,Medicine C,Sneha,25,9632,240800
2023-04-23,INV00183,CUST00183,"Bray, Nichols and Castillo Hospital",North,Delhi,Medical Devices,Device W,Anita,31,3308,102548
2023-07-09,INV00184,CUST00184,Bell-James Hospital,North,Punjab,Medical Devices,Device Y,Sneha,48,3086,148128
2025-01-25,INV00185,CUST00185,Dudley Ltd Hospital,South,Kerala,Medical Devices,Device Z,Arjun,47,1141,53627
2023-11-13,INV00186,CUST00186,Allen Ltd Hospital,West,Rajasthan,Medical Devices,Device W,Arjun,15,16548,248220
2024-08-11,INV00187,CUST00187,"Curry, Yoder and Beck Hospital",East,Odisha,Pharma,Medicine C,Anita,18,15205,273690
2023-07-21,INV00188,CUST00188,Novak PLC Hospital,North,Delhi,Medical Devices,Device Z,Anita,34,10523,357782
2024-02-07,INV00189,CUST00189,"Hall, Mccann and Robinson Hospital",South,Tamil Nadu,Medical Devices,Device Z,Sneha,9,14674,132066
2024-05-14,INV00190,CUST00190,Wilson Inc Hospital,West,Gujarat,Medical Devices,Device Z,Rahul,38,6542,248596
2024-07-25,INV00191,CUST00191,"Beard, Morris and Mason Hospital",East,Assam,Medical Devices,Device W,Sneha,50,11608,580400
2024-04-07,INV00192,CUST00192,Santos LLC Hospital,South,Karnataka,Pharma,Medicine D,Rahul,18,4213,75834
2025-12-19,INV00193,CUST00193,Bailey PLC Hospital,North,Delhi,Medical Devices,Device X,Anita,35,11846,414610
2024-03-31,INV00194,CUST00194,Ali Group Hospital,North,Punjab,Medical Devices,Device X,Arjun,20,7536,150720
2023-08-16,INV00195,CUST00195,Robbins Inc Hospital,North,Delhi,Medical Devices,Device Y,Sneha,2,11699,23398
2024-07-28,INV00196,CUST00196,"Parsons, James and Potts Hospital",East,Bengal,Medical Devices,Device W,Arjun,17,9397,159749
2024-09-20,INV00197,CUST00197,Rojas-Velazquez Hospital,West,Rajasthan,Medical Devices,Device Y,Sneha,35,15270,534450
2023-06-16,INV00198,CUST00198,"Waters, Brown and Schmidt Hospital",East,Assam,Pharma,Medicine B,Anita,49,15645,766605
2023-12-16,INV00199,CUST00199,Boyd-Hicks Hospital,South,Tamil Nadu,Medical Devices,Device W,Rahul,45,2513,113085
2024-02-27,INV00200,CUST00200,King-Lopez Hospital,East,Bengal,Medical Devices,Device Z,Arjun,23,8988,206724
2023-03-02,INV00201,CUST00201,Sanchez Ltd Hospital,North,Haryana,Medical Devices,Device Z,Sneha,43,12798,550314
2024-12-21,INV00202,CUST00202,"Russell, Dominguez and Smith Hospital",West,Rajasthan,Medical Devices,Device W,Sneha,15,14781,221715
2024-08-17,INV00203,CUST00203,"Doyle, Conley and Taylor Hospital",West,Rajasthan,Medical Devices,Device Z,Sneha,27,7538,203526
2025-01-18,INV00204,CUST00204,Thomas-Martin Hospital,North,Delhi,Medical Devices,Device X,Arjun,30,12887,386610
2025-11-20,INV00205,CUST00205,Torres-Lewis Hospital,West,Gujarat,Pharma,Medicine D,Anita,28,14122,395416
2023-11-20,INV00206,CUST00206,"Hill, Mcgee and Mitchell Hospital",West,Rajasthan,Medical Devices,Device Y,Rahul,35,14157,495495
2023-10-13,INV00207,CUST00207,Patrick PLC Hospital,West,Maharashtra,Pharma,Medicine A,Anita,38,9571,363698
2025-12-14,INV00208,CUST00208,"Calderon, Rubio and Dickerson Hospital",West,Gujarat,Medical Devices,Device Y,Rahul,15,12320,184800
2024-09-02,INV00209,CUST00209,"Holmes, Hall and Anderson Hospital",West,Gujarat,Pharma,Medicine A,Anita,48,14351,688848
2023-03-21,INV00210,CUST00210,"Parks, Watson and Brandt Hospital",North,Haryana,Pharma,Medicine A,Anita,3,16274,48822
2024-06-04,INV00211,CUST00211,"Miller, Vaughn and Ruiz Hospital",West,Gujarat,Medical Devices,Device X,Sneha,22,18530,407660
2025-09-11,INV00212,CUST00212,Preston Ltd Hospital,South,Kerala,Medical Devices,Device W,Sneha,32,9090,290880
2023-11-22,INV00213,CUST00213,Frazier LLC Hospital,West,Gujarat,Pharma,Medicine A,Anita,7,14207,99449
2023-07-05,INV00214,CUST00214,Washington-Fox Hospital,East,Bengal,Pharma,Medicine A,Arjun,41,16126,661166
2024-05-14,INV00215,CUST00215,"Baxter, Jenkins and Parker Hospital",North,Punjab,Pharma,Medicine D,Arjun,20,7001,140020
